#   max_th 15
# time red_drops red_traffic red_ratio mred_drops mred_traffic  mred_ratio
# 
# 
1  0 30 1 0 31 1
2  0 9 1 0 17 1
3  0 19 1 0 14 1
4  0 34 1 0 35 1
5  0 10 1 16 16 0
6  0 35 1 29 29 0
7  0 22 1 28 28 0
8  0 15 1 0 7 1
9  0 31 1 0 19 1
10  0 26 1 22 22 0
11  0 24 1 0 10 1
12  40 45 0.111111111111111 42 42 0
13  19 19 0 0 35 1
14  7 7 0 33 33 0
15  8 8 0 0 34 1
16  12 12 0 45 45 0
17  17 17 0 16 16 0
18  38 38 0 33 33 0
19  21 21 0 0 7 1
20  29 29 0 42 42 0
21  15 15 0 0 23 1
22  14 14 0 0 5 1
23  30 30 0 0 34 1
24  23 23 0 42 42 0
25  26 26 0 26 26 0
26  19 19 0 33 33 0
27  26 26 0 16 16 0
28  31 31 0 33 33 0
29  12 12 0 33 33 0
30  25 25 0 0 35 1
31  37 37 0 0 31 1
32  12 12 0 33 33 0
33  22 22 0 0 21 1
34  42 42 0 22 22 0
35  26 26 0 1 18 0.944444444444444
36  7 7 0 0 12 1
37  21 21 0 0 21 1
38  26 26 0 0 34 1
39  17 17 0 38 38 0
40  17 17 0 0 19 1
41  10 10 0 0 7 1
42  20 20 0 16 16 0
43  21 21 0 0 15 1
44  30 30 0 45 45 0
45  22 22 0 0 9 1
46  0 0 0 33 33 0
47  33 33 0 0 8 1
48  5 5 0 38 38 0
49  24 24 0 0 19 1
50  8 8 0 0 14 1
51  12 12 0 16 16 0
52  30 30 0 0 3 1
53  19 19 0 0 23 1
54  29 29 0 36 36 0
55  24 24 0 0 19 1
56  4 4 0 24 24 0
57  37 37 0 24 24 0
58  31 31 0 28 28 0
59  40 40 0 25 25 0
60  11 11 0 37 37 0
61  29 29 0 16 16 0
62  11 11 0 29 29 0
63  7 7 0 33 33 0
64  19 19 0 0 19 1
65  30 30 0 36 36 0
66  17 17 0 0 19 1
67  36 36 0 0 23 1
68  15 15 0 38 38 0
69  29 29 0 33 33 0
70  23 23 0 22 22 0
71  4 4 0 0 14 1
72  31 31 0 0 17 1
73  19 19 0 0 9 1
74  21 21 0 0 0 0
75  12 12 0 24 24 0
76  12 12 0 24 24 0
77  19 19 0 0 10 1
78  9 9 0 26 26 0
79  16 16 0 0 7 1
80  15 15 0 0 10 1
81  41 41 0 0 23 1
82  38 38 0 0 19 1
83  24 24 0 33 33 0
84  16 16 0 38 38 0
85  31 31 0 0 21 1
86  21 21 0 33 33 0
87  30 30 0 0 19 1
88  9 9 0 26 26 0
89  23 23 0 25 25 0
90  23 23 0 1 18 0.944444444444444
91  24 24 0 37 37 0
92  12 12 0 0 19 1
93  38 38 0 16 16 0
94  26 26 0 24 24 0
95  26 26 0 0 5 1
96  25 25 0 16 16 0
97  33 33 0 33 33 0
98  15 15 0 0 4 1
99  17 17 0 0 18 1
100  7 7 0 33 33 0
101  37 37 0 0 15 1
102  42 42 0 0 21 1
103  26 26 0 0 15 1
104  12 12 0 0 23 1
105  28 28 0 16 16 0
106  5 5 0 0 23 1
107  14 14 0 0 8 1
108  45 45 0 37 37 0
109  31 31 0 0 12 1
110  21 21 0 0 23 1
111  29 29 0 0 4 1
112  8 8 0 0 8 1
113  14 14 0 0 15 1
114  0 0 0 0 19 1
115  5 5 0 0 4 1
116  35 35 0 0 17 1
117  5 5 0 42 42 0
118  12 12 0 24 24 0
119  26 26 0 0 15 1
120  38 38 0 0 12 1
121  41 41 0 29 29 0
122  28 28 0 36 36 0
123  26 26 0 37 37 0
124  24 24 0 0 23 1
125  19 19 0 30 30 0
126  19 19 0 28 28 0
127  20 20 0 0 5 1
128  11 11 0 16 16 0
129  24 24 0 22 22 0
130  33 33 0 24 24 0
131  29 29 0 0 35 1
132  45 45 0 24 24 0
133  31 31 0 0 21 1
134  38 38 0 0 9 1
135  12 12 0 38 38 0
136  30 30 0 16 16 0
137  37 37 0 24 24 0
138  14 14 0 0 3 1
139  29 29 0 38 38 0
140  10 10 0 24 24 0
141  19 19 0 0 7 1
142  22 22 0 0 21 1
143  19 19 0 26 26 0
144  7 7 0 0 8 1
145  29 29 0 0 10 1
146  24 24 0 30 30 0
147  38 38 0 0 19 1
148  7 7 0 0 11 1
149  0 0 0 20 20 0
150  7 7 0 0 5 1
151  23 23 0 36 36 0
152  12 12 0 0 5 1
153  19 19 0 20 20 0
154  7 7 0 36 36 0
155  22 22 0 0 9 1
156  24 24 0 0 14 1
157  30 30 0 0 10 1
158  29 29 0 0 0 0
159  15 15 0 0 35 1
160  29 29 0 0 15 1
161  28 28 0 0 0 0
162  45 45 0 0 21 1
163  18 18 0 25 25 0
164  7 7 0 26 26 0
165  30 30 0 0 27 1
166  4 4 0 38 38 0
167  12 12 0 0 12 1
168  42 42 0 26 26 0
169  35 35 0 26 26 0
170  38 38 0 24 24 0
171  5 5 0 0 19 1
172  28 28 0 0 19 1
173  19 19 0 16 16 0
174  3 3 0 28 28 0
175  26 26 0 33 33 0
176  4 4 0 16 16 0
177  27 27 0 0 11 1
178  22 22 0 0 23 1
179  4 4 0 22 22 0
180  14 14 0 0 14 1
181  21 21 0 0 19 1
182  34 34 0 0 31 1
183  0 0 0 29 29 0
184  24 24 0 0 14 1
185  38 38 0 0 3 1
186  19 19 0 20 20 0
187  3 3 0 0 12 1
188  37 37 0 0 19 1
189  15 15 0 0 4 1
190  25 25 0 42 42 0
191  4 4 0 0 34 1
192  16 16 0 24 24 0
193  22 22 0 25 25 0
194  5 5 0 0 10 1
195  19 19 0 0 35 1
196  15 15 0 28 28 0
197  30 30 0 24 24 0
198  28 28 0 38 38 0
199  14 14 0 36 36 0
200  33 33 0 33 33 0
201  38 38 0 26 26 0
202  12 12 0 41 41 0
203  36 36 0 22 22 0
204  30 30 0 38 38 0
205  24 24 0 0 15 1
206  30 30 0 45 45 0
207  37 37 0 26 26 0
208  17 17 0 33 33 0
209  19 19 0 40 40 0
210  0 0 0 0 19 1
211  14 14 0 36 36 0
212  31 31 0 24 24 0
213  21 21 0 37 37 0
214  9 9 0 26 26 0
215  23 23 0 25 25 0
216  28 28 0 0 9 1
217  17 17 0 16 16 0
218  20 20 0 0 8 1
219  15 15 0 24 24 0
220  26 26 0 20 20 0
221  19 19 0 45 45 0
222  23 23 0 26 26 0
223  38 38 0 0 8 1
224  4 4 0 0 23 1
225  17 17 0 26 26 0
226  16 16 0 29 29 0
227  31 31 0 33 33 0
228  11 11 0 40 40 0
229  20 20 0 0 34 1
230  36 36 0 16 16 0
231  16 16 0 0 31 1
232  24 24 0 0 35 1
233  26 26 0 38 38 0
234  42 42 0 0 12 1
235  22 22 0 0 21 1
236  29 29 0 0 21 1
237  27 27 0 38 38 0
238  15 15 0 0 7 1
239  41 41 0 0 21 1
240  9 9 0 0 0 0
241  36 36 0 0 27 1
242  35 35 0 0 21 1
243  7 7 0 0 19 1
244  19 19 0 33 33 0
245  22 22 0 0 15 1
246  16 16 0 0 23 1
247  23 23 0 0 15 1
248  14 14 0 29 29 0
249  33 33 0 30 30 0
250  24 24 0 0 27 1
251  23 23 0 24 24 0
252  42 42 0 26 26 0
253  40 40 0 1 18 0.944444444444444
254  24 24 0 37 37 0
255  7 7 0 0 17 1
256  21 21 0 0 21 1
257  12 12 0 16 16 0
258  34 34 0 26 26 0
259  5 5 0 0 35 1
260  30 30 0 16 16 0
261  21 21 0 0 17 1
262  30 30 0 0 9 1
263  18 18 0 0 8 1
264  29 29 0 24 24 0
265  22 22 0 0 11 1
266  21 21 0 0 11 1
267  5 5 0 33 33 0
268  12 12 0 0 17 1
269  5 5 0 28 28 0
270  22 22 0 0 7 1
271  17 17 0 0 19 1
272  25 25 0 0 19 1
273  26 26 0 0 31 1
274  31 31 0 0 15 1
275  26 26 0 38 38 0
276  34 34 0 0 0 0
277  10 10 0 26 26 0
278  12 12 0 16 16 0
279  31 31 0 30 30 0
280  40 40 0 37 37 0
281  29 29 0 22 22 0
282  10 10 0 0 23 1
283  20 20 0 22 22 0
284  40 40 0 0 23 1
285  34 34 0 0 15 1
286  19 19 0 0 31 1
287  8 8 0 16 16 0
288  5 5 0 25 25 0
289  31 31 0 29 29 0
290  15 15 0 0 14 1
291  19 19 0 0 21 1
292  19 19 0 0 3 1
293  26 26 0 0 21 1
294  16 16 0 40 40 0
295  22 22 0 0 21 1
296  19 19 0 0 31 1
297  11 11 0 38 38 0
298  16 16 0 0 4 1
299  14 14 0 22 22 0
300  23 23 0 25 25 0
301  25 25 0 0 12 1
302  19 19 0 24 24 0
303  23 23 0 24 24 0
304  37 37 0 0 14 1
305  40 40 0 0 27 1
306  7 7 0 0 31 1
307  33 33 0 29 29 0
308  16 16 0 0 7 1
309  12 12 0 42 42 0
310  4 4 0 0 15 1
311  3 3 0 0 21 1
312  15 15 0 0 12 1
313  17 17 0 26 26 0
314  33 33 0 29 29 0
315  15 15 0 24 24 0
316  8 8 0 24 24 0
317  24 24 0 0 14 1
318  18 18 0 0 8 1
319  19 19 0 22 22 0
320  14 14 0 0 7 1
321  21 21 0 0 8 1
322  40 40 0 45 45 0
323  26 26 0 0 10 1
324  21 21 0 0 19 1
325  30 30 0 33 33 0
326  3 3 0 0 11 1
327  33 33 0 0 19 1
328  19 19 0 0 17 1
329  24 24 0 0 23 1
330  26 26 0 0 11 1
331  26 26 0 26 26 0
332  14 14 0 0 23 1
333  7 7 0 0 3 1
334  23 23 0 29 29 0
335  31 31 0 28 28 0
336  22 22 0 0 35 1
337  14 14 0 0 11 1
338  4 4 0 26 26 0
339  3 3 0 0 34 1
340  24 24 0 42 42 0
341  33 33 0 0 27 1
342  19 19 0 26 26 0
343  35 35 0 0 31 1
344  33 33 0 30 30 0
345  15 15 0 33 33 0
346  18 18 0 0 15 1
347  10 10 0 28 28 0
348  18 18 0 29 29 0
349  31 31 0 0 15 1
350  38 38 0 0 11 1
351  10 10 0 0 3 1
352  24 24 0 0 34 1
353  28 28 0 29 29 0
354  7 7 0 24 24 0
355  0 0 0 38 38 0
356  3 3 0 0 14 1
357  21 21 0 25 25 0
358  40 40 0 0 10 1
359  26 26 0 24 24 0
360  21 21 0 0 23 1
361  41 41 0 0 4 1
362  16 16 0 0 10 1
363  21 21 0 0 35 1
364  17 17 0 0 0 0
365  17 17 0 0 10 1
366  27 27 0 41 41 0
367  10 10 0 30 30 0
368  42 42 0 33 33 0
369  12 12 0 24 24 0
370  29 29 0 0 3 1
